,연도,나이,경기,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
0,2009,19,5,10,9,1,1,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0.111,0.2,0.111,0.311,0.167,-24.7,-0.09,0.0
1,2010,20,125,417,352,59,85,13,6,13,149,61,13,2,44,7,0,137,1,7,7,0.241,0.332,0.423,0.755,0.336,96.0,2.72,0.0
2,2011,21,63,180,156,17,33,7,0,2,46,15,5,2,19,1,0,57,2,3,1,0.212,0.299,0.295,0.594,0.283,64.4,0.36,0.0
3,2012,22,133,540,462,66,115,22,2,12,177,53,23,14,55,6,4,122,6,9,8,0.249,0.332,0.383,0.715,0.328,102.8,3.5,0.0
4,2013,23,124,514,441,81,113,20,8,9,176,47,30,7,54,9,0,113,7,7,3,0.256,0.347,0.399,0.746,0.346,102.6,3.91,0.0
5,2014,24,113,464,397,72,104,20,8,8,164,56,28,12,51,7,2,102,8,6,3,0.262,0.354,0.413,0.767,0.343,94.6,2.62,2.83
6,2015,25,138,566,497,76,138,41,4,11,220,56,25,10,59,4,1,121,2,3,3,0.278,0.357,0.443,0.8,0.357,110.3,4.44,2.4
7,2016,26,121,472,393,73,110,14,5,20,194,78,17,9,65,7,0,97,7,2,5,0.28,0.387,0.494,0.881,0.391,126.6,4.16,1.98
8,2017,27,107,390,334,47,91,13,4,8,136,39,10,5,45,5,2,105,8,1,5,0.272,0.363,0.407,0.77,0.346,101.2,2.14,-0.42
9,2018,28,144,617,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,0.278,0.354,0.396,0.75,0.329,89.4,2.83,2.62
10,2019,29,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.33,100.8,3.37,0.85
11,2020,30,141,591,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,0.3,0.362,0.461,0.823,0.368,119.9,4.41,1.21
12,2021,31,134,532,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,0.327,93.9,2.33,-0.53
13,2022,32,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,5.77,2.56
14,2023,33,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.372,0.396,0.767,0.36,121.9,3.89,1.95
