Unnamed: 0,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
14,2019-20,Crosby,41,16,31,47,-8,15,4,17,0,0,20:16,4,2,109,14.7,55.6
15,2020-21,Crosby,55,24,38,62,8,26,5,22,1,1,20:23,5,2,159,15.1,53.6
16,2021-22,Crosby,69,31,53,84,19,32,8,30,0,0,19:58,9,1,208,14.9,52.4
17,2022-23,Crosby,82,33,60,93,8,52,9,27,0,0,20:08,9,1,255,12.9,53.0
18,2023-24,Crosby,39,22,19,41,14,22,6,10,0,0,19:58,3,0,137,16.1,60.1
3,2019-20,Guentzel,39,20,23,43,11,14,6,10,0,0,20:37,4,1,127,15.7,47.8
4,2020-21,Guentzel,56,23,34,57,7,28,6,18,0,1,20:16,7,1,141,16.3,25.0
5,2021-22,Guentzel,76,40,44,84,13,44,7,22,0,0,20:05,7,1,264,15.2,52.0
6,2022-23,Guentzel,78,36,37,73,2,46,11,23,0,0,20:06,6,1,244,14.8,50.0
7,2023-24,Guentzel,39,18,26,44,9,12,3,10,0,0,20:47,2,0,140,12.9,20.0
10,2019-20,Karlsson,56,6,34,40,-15,16,1,13,1,1,24:31,0,0,120,5.0,0.0
11,2020-21,Karlsson,52,8,14,22,-18,18,3,8,0,1,23:35,1,0,110,7.3,0.0
12,2021-22,Karlsson,50,10,25,35,-14,14,0,10,0,0,23:28,2,1,117,8.5,0.0
13,2022-23,Karlsson,82,25,76,101,-26,36,5,27,0,0,25:36,4,2,209,12.0,0.0
14,2023-24,Karlsson,39,7,21,28,11,22,2,9,0,0,24:22,2,0,90,7.8,0.0
13,2019-20,Letang,61,15,29,44,0,38,6,15,0,0,25:43,2,0,177,8.5,0.0
14,2020-21,Letang,55,7,38,45,19,32,1,15,0,1,24:38,2,1,132,5.3,0.0
15,2021-22,Letang,78,10,58,68,20,49,2,22,0,0,25:46,3,2,214,4.7,0.0
16,2022-23,Letang,64,12,29,41,-13,30,6,21,1,1,24:51,3,3,161,7.5,0.0
17,2023-24,Letang,39,3,23,26,9,40,0,2,0,0,24:35,0,0,80,3.8,0.0
13,2019-20,Malkin,55,25,49,74,7,58,7,24,0,0,19:31,5,0,171,14.6,50.3
14,2020-21,Malkin,33,8,20,28,-4,24,4,9,0,0,17:44,0,0,72,11.1,42.5
15,2021-22,Malkin,41,20,22,42,-10,24,9,20,0,0,18:19,5,1,129,15.5,43.6
16,2022-23,Malkin,82,27,56,83,-12,82,11,36,0,0,18:34,3,0,240,11.3,49.3
17,2023-24,Malkin,39,15,20,35,0,36,3,12,0,0,18:56,2,0,109,13.8,51.1
3,2019-20,Pettersson,69,2,20,22,9,35,0,2,0,0,19:23,0,0,79,2.5,0.0
4,2020-21,Pettersson,47,2,7,9,8,22,0,0,0,0,16:29,0,0,46,4.3,0.0
5,2021-22,Pettersson,72,2,17,19,8,38,0,0,0,0,15:39,0,0,83,2.4,0.0
6,2022-23,Pettersson,68,1,23,24,4,58,0,0,0,0,20:35,0,0,96,1.0,0.0
7,2023-24,Pettersson,39,0,14,14,18,20,0,0,0,0,22:31,0,0,46,0.0,0.0
